name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Alibaba & 41 Dishes,"Sasthamangalam Road | Althara Nagar | Vellayambalam Althara Nagar, Vellayambalam, Thiruvananthapuram (Trivandrum) 695010 India",Indian,http://www.alibaba41dishes.com,#104 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Ram's Kitchen - Poomaram Restaurant,"Opp LULU MAL,Oruvathilkotta, Aakkulam, Thiruvananthapuram (Trivandrum) 695029 India",Indian,https://www.facebook.com/%E0%B4%AA%E0%B5%82%E0%B4%AE%E0%B4%B0%E0%B4%82-Rams-Kitchen-Poomaram-Restaurant-1966328480273532/,#100 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Curry Leaf,"Samudra Beach Kovalam, Thiruvananthapuram (Trivandrum) India",Indian,https://www.facebook.com/Curry-Leaf-Kovalam-357959021035254,#73 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Swaad Pure Vegetarian Restaurant,"East Fort, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,#148 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Irani Restaurant,"Thirumala Road Near Muthoot Bank, Poojappura, Thiruvananthapuram (Trivandrum) 695012 India",Indian,,#272 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
TBX,"Hotel Hycinth Manorama Road, Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://hycinthhotels.com/tbx.html,#68 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
The Oriental Kitchen,"Hyatt Regency Trivandrum, C.v. Raman Pillai Road Thycaud, Thiruvananthapuram (Trivandrum) 695014 India",Chinese,http://hyattregencytrivandrum.com,#86 of 727 Restaurants in Thiruvananthapuram (Trivandrum),5.0
V Bar,"Punnen Road, Statue Hilton Garden Inn Trivandrum, Thiruvananthapuram (Trivandrum) 695039 India",Indian,http://www.trivandrum.hgi.com,#11 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Varnam Sea Food Restaurant,"Nandavanam Road Opposite Dcc Office, Thiruvananthapuram (Trivandrum) 695033 India",Indian,http://www.varnamcaterers.com,#107 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Cafe Mojo,"Kowdiar Road, Thiruvananthapuram (Trivandrum) India",Chinese,http://www.facebook.com/Cafemojotrv/,#28 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
