name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Ss Bake House 2021,"Sree Saras Palaikonam Aryanad, Thiruvananthapuram (Trivandrum) 695542 India",,,,
Tea N Me,"Kuravankuzhi, Kilimanoor, Thiruvananthapuram (Trivandrum) 695614 India",,,,
Kappi Shop,"Akkulam, Bypass Road,kuzhivila, Thiruvananthapuram (Trivandrum) 695583 India",,,,
Seven Star Super Bazaar,"Seven Star Bazaar, Ground Floor, Thcyaud, Thiruvananthapuram (Trivandrum) 695014 India",,,,
Chicking,"Chicking Near to S. T Mary's Higher Secondary School Pattom, Thiruvananthapuram (Trivandrum) 695004 India",,,#401 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Ks Store,"Babu Bhavan, ISRO Junction, 16th kal, Chullimanoor, Thiruvananthapuram (Trivandrum) 695541 India",,,,
Kfc,"Mall Of Travancore, Food Court, Chakka Bye Pass, Eanchakkal, Thiruvananthapuram (Trivandrum) 695024 India",,http://kfc.co.in/,,
Sheenu's Kitchen,"Kodangavila.p.o,neyyattinkara, Thiruvananthapuram (Trivandrum) 695123 India",,,,
Laiko's,"Castro Nagar, Thiruvananthapuram (Trivandrum) 695582 India",,,,
Friends Restaurant,"Nanthencode Jn, Kowdiar, Thiruvananthapuram, Kl, India, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.friendsrestaurant.in,,
Burger King,"Fcc 12&13, Mall Of Travancore, Airport Road, Thiruvananthapuram (Trivandrum) 695024 India",,https://stores.burgerking.in/burger-king-fast-food-restaurant-airport-road-thiruvananthapuram-179231/home?utm_source=locator&utm_medium=bing,,
Spot,"Spot Cafe, Opposite To Tsc Hospital, Kulathoor, Thiruvananthapuram (Trivandrum) 695583 India",,,,
Cafefrenchmac,"Frenchmac Cafe, Pattom Kowdiar Rd, Vickramapuram, Kuravankonam, Kerala, Thiruvananthapuram (Trivandrum) 695003 India",,https://frenchmaccafe.com/,,
Ibwis Mart Peyad,"Peyad - Vellanad Rd, Peyad, Kerala 695573, Thiruvananthapuram (Trivandrum) 695573 India",,,,
Namiz Cakes,"Karumom, Thiruvananthapuram (Trivandrum) 695002 India",,,,
Margin Free Market Karamana,"Near Karamana Market, Thiruvananthapuram (Trivandrum) 695002 India",,,,
Sajna's Nuts N Fruits,"Ud83dudccdnarmada Complex, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,http://nutsandfruits.in/,,
Totally Baked,"1 Jawahar Nagar Road, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Cafe Zurich,"Vanross, Palayam, Thiruvananthapuram (Trivandrum) 695034 India",,,,
Afc Palayam,"Afc Palayam, Saphalyam Shopping Complex, Palayam, Thiruvananthapuram (Trivandrum) 695033 India",,http://afc.world/,,
Royal Travancore Kitchen,"Pipinmood Road, Thiruvananthapuram (Trivandrum) 695010 India",,http://www.rtkgroup.in,,
The Hungry Panda,"The Hungry Panda, Sen Madhavapuram Building, Ymr Road, Nanthencode, Thiruvananthapuram (Trivandrum) 695003 India",,https://thehungrypandaoow.petpooja.com/,,
Bak Box Trivandrum,"Nanthancode, Thiruvananthapuram., Thiruvananthapuram (Trivandrum) 695003 India",,https://www.bakbox.in/,,
Sante Sip Juice & Smoothie Bar,"Chandrasekaran Nair Stadium,palayam, Thiruvananthapuram (Trivandrum) India",,http://www.santesip.com,,
Welgate Lifestyle,"695003, Kuravankonam, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Sayhna Gaeden Cafe,"Sh-45, Thiruvananthapuram (Trivandrum) 695033 India",,http://www.ktdc.com,,
Bread Bowl Cafe,"Medical College, Thiruvananthapuram (Trivandrum) 695011 India",,http://www.breadbowl.co.in/,,
Chai Roti,"Pandits Colony Extention, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.chaicult.com,,
Mr. Cake,"Mr Cake, Eanchakkal, Thiruvananthapuram (Trivandrum) 695008 India",,http://www.mrcakebakery.in,,
Kannan Fast Food,"Justice Sankaranarayana Iyer Street Nalumukku, Pazhavangadi, Thiruvananthapuram (Trivandrum) 695001 India",,,#242 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Pizza Hut,"Sf 25, 2nd Floor, Mall Of Travancore, Chakai Enchakkal Bypass Road, Chakkai, Thiruvananthapuram (Trivandrum) 695024 India",,https://restaurants.pizzahut.co.in/pizza-hut-chakkai-pizza-delivery-chakkai-thiruvananthapuram-44220/home?utm_source=locator&utm_medium=bing,,
Gogulam Stores & Tea Stall,"Market Road, Thiruvananthapuram (Trivandrum) 695017 India",,,,
The Cake Stories,"Ulloor Junction ,medical College P.o,trivandrum, Thiruvananthapuram (Trivandrum) 695011 India",,https://www.thecakestories.com/,,
Zrooz,"Motor Plaza Heights, Chavadi Mukku, Sreekaryam Post, Thiruvananthapuram (Trivandrum) 695017 India",,http://www.zrooz.com,,
Tessy's Home Delights,"167 Temple Road, Thiruvananthapuram (Trivandrum) 695015 India",,http://tessyshomedelights.in,,
Poabs Exports,"Poabs Enterprises Pvt. Ltd., Thiruvananthapuram (Trivandrum) 689106 India",,http://www.poabs.com,,
Queen Cakes,"Souparnika, Vellanad P.o., Thiruvananthapuram (Trivandrum) 695543 India",,https://queencake2020.wordpress.com,,
Mangosteen Foodcourt,"1 Mc Road, Thiruvananthapuram (Trivandrum) 695004 India",,,,
Juiceboss Cafe,"Palayam, Thiruvananthapuram (Trivandrum) India",,,,
Imperial Pure Veg,"Ymr Jct, Nanthancodu,, Thiruvananthapuram (Trivandrum) 695004 India",,,,
Kfc,"No Tc 99/3442/1, Rashaj Iris, Nh Byepass Road, Kulthur, Kazhakkoottam, Thiruvananthapuram (Trivandrum) 695583 India",,https://restaurants.kfc.co.in/kfc-kazhakkoottam-restaurants-kazhakkoottam-thiruvananthapuram-123139/home,,
Moonumukku,"Moonumukku,mamam,attingal, Thiruvananthapuram (Trivandrum) 695101 India",,,,
Kayaloram Vibes,"Kayalkkara, Kakkamoola-agriculture Road, Kakkamoola, Thiruvananthapuram (Trivandrum) 695042 India",,,,
Hotspot Cafe Trivandrum,"Ambalamukku - Kowdiar Road, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.hotspotcafe.in,,
GB25 Bungalow Restaurant,"GB25 Nedumkadu GSI Exact Ovinmugham Road Thempamoodu Mukkola Vembayam, Thiruvananthapuram (Trivandrum) 695607 India",,http://www.instagram.com/gb25.inn/,,
Kepco Chicken Restaurant,"Pettah, Thiruvananthapuram (Trivandrum) 695029 India",,http://kepcochicken.blogspot.com,,
Organic India,"Vasantham, Pattom Kowdiar Road, Kowdiar, Opposite Azad Bread Factory, Thiruvananthapuram (Trivandrum) 695003 India",,https://store.organicindia.com/organic-india/thiruvananthapuram/kowdiar/organic-india-store-in-kowdiar-thiruvananthapuram--98ff5e6d-fcf4-43ca-91e6-3974ba31aa82/home,,
G K Restaurant,"Varkala, Thiruvananthapuram (Trivandrum) 695312 India",,,,
Trivandrum Fish Hub,"Pheonix Arcade,temple Road, Sasthamangalam Po, Thiruvananthapuram (Trivandrum) 695010 India",,http://www.trivandrumfishhub.com,,
Barbecue Space Restaurant Vazhuthacaud,"Opposite All India Radio, Vazhuthacaud - Dpi Road, Vazhuthacaud, Thiruvananthapuram (Trivandrum) 695014 India",Arabic,,,
Hotel Kuttanadan Park,"Karamana killipalam Road Rajadhani Complex, Thiruvananthapuram (Trivandrum) 695002 India",,,#315 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Kepco Restaurant,Thiruvananthapuram (Trivandrum) India,,,#368 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Bismi Chicken Corner,"Thenmala Road Opposite Government Girls High School, Thiruvananthapuram (Trivandrum) 695005 India",,,#280 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Royal Dry Fruits &spices,"Vazhuthacadu ,mp Appan Ro, Thiruvananthapuram (Trivandrum) 695001 India",,,,
Kfc,"Survey No 3572/3, Blessing Tower, Keston Road, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,https://restaurants.kfc.co.in/kfc-kfc-kowdiar-restaurants-kowdiar-thiruvananthapuram-167973/home?utm_source=locator&utm_medium=bing,,
Athidhi Devo,"Thiruvananthapuram, Kl, India, Thiruvananthapuram (Trivandrum) 695033 India",,,,
Vismaya Bakery and Parlour,"Christian College Road Kattakada, Thiruvananthapuram (Trivandrum) 695527 India",,,#336 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Raj 's Corner Icecream Parlour,"3rd Puthen Street, Manacaud 695009, Thiruvananthapuram, Kl, India, Thiruvananthapuram (Trivandrum) 695009 India",,,,
Kannan Chips Kaithamukku,"Tc 28/227 Kaithamukku Tvpm, Thiruvananthapuram (Trivandrum) 695024 India",,,,
Porotta Hut Restocafe,"Pattom, Thiruvananthapuram (Trivandrum) India",,,,
Chicking India,"Airport Back Side ,mall Of Travankoor, Thiruvananthapuram (Trivandrum) 695024 India",,,,
Juice N Bites,"84/2346 1, Subhash Nagar, Vallakadavu Po,, Thiruvananthapuram (Trivandrum) 695008 India",,,,
Ojus Organics,"Krishna Commercial Complex, Bakery Junction, Opp. Petrol Pump, Next To Ambrosia, Thiruvananthapuram (Trivandrum) 695001 India",,http://www.ojusorganics.com,,
Bnbtvm,"Kumbalath House, #j15, 1st Floor, Janvila Lane Main Street, Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010 India",,https://www.bnblibrary.in,,
Ice Cubes Ice Cream Parlour,"Ice Cube Ice Creame Parlour Near M A R Ivanios Col. Main Gate Nalanchira Nalanchira, Opposite Mar Ivanios, Thiruvananthapuram (Trivandrum) 695015 India",,,#264 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Matsya Fish Stall,"Marappalam, Pattom Post, Thiruvananthapuram (Trivandrum) 695004 India",Seafood,http://www.matsyafish.com,,
Grace Restaurant,"1 Mar Ivanios College Road, Thiruvananthapuram (Trivandrum) 695015 India",,,,
Eastern Bakery,"Vazhuthacaud, Thiruvananthapuram (Trivandrum) 695014 India",,,#280 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Cake Shore,"Puthenchantha, Varkala, Thiruvananthapuram (Trivandrum) 695141 India",,http://www.cakeshoreindia.com/,,
Greenland restaurant,"Greenland Hotel, Thiruvananthapuram (Trivandrum) India",Indian,,,
Berry Loaf,"Berry Loaf, Pazhoor Plaza, Opposite M G College, Kesavadasapuram, 695004, Thiruvananthapuram (Trivandrum) 695004 India",Indian,http://www.berryloaf.com,,
Sameer-kitchen,"Beside Ksrtc Bustand , Thanpanoor Opposite Side of Trivandrum Railway Station, Thiruvananthapuram (Trivandrum) 695001 India",,,,
Lamiya Food Palace,"Choondpalaka , Kattakad, Thiruvananthapuram (Trivandrum) 695572 India",Arabic,,,
Kadaloram Trivandrum,"Vettucaud, Thiruvananthapuram (Trivandrum) 695021 India",Seafood,,,
Jack And Jill Restaurant,"Jack And Jill, Ulloor, Medical College.p.o, Thiruvananthapuram (Trivandrum) 695011 India",American,,,
Onewaybridge,"Oneway Bridge, Thiruvananthapuram (Trivandrum) India",Indian,,,
Tavaron,"Tavaron Restaurant, Near Tayas Hypermarket Medical College, Thiruvananthapuram (Trivandrum) 695011 India",Indian,,,
Abc Cafe & Restaurant,"Light House Beach Kovalam, Thiruvananthapuram (Trivandrum) 695521 India",,http://abeachcafe.com/,,
Mankalam Restaurant,"Enchakkal, Thiruvananthapuram (Trivandrum) 695008 India",Indian,,,
Pathiri's Restaurant,"Vanross Junction, Thiruvananthapuram (Trivandrum) 695001 India",,,,
Grand Bazar,"Keston Road, Devaswom Board Jn, Trivandrum, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Attingal Fish,"Attingal Fish And Seafood Restaurant Tollmukku, Avanavancherry, Thiruvananthapuram (Trivandrum) 695103 India",,,,
Rasa Kitchen - Cafe & Restaurant,"SS Kovil Road, PO, Aristo, Thampanoor The Terrace Business Hotel by Citrine, Thiruvananthapuram (Trivandrum) 695001 India",,,,
Morgan Restaurant & Cafe,"Morgan Restaurant & Cafe, Thiruvananthapuram (Trivandrum) 695583 India",,,,
Pathayam Organic Food Restaurant,"Near Infosys, Behind Kunnil Super Market, Kuzhivila, Thiruvananthapuram (Trivandrum) 695018 India",,,,
Highway Supermarket,"Karakkamandapam Jn., Thiruvananthapuram (Trivandrum) 695018 India",,,,
Sri Sri Tattva Store-vasudev Ventures,"Saga Tower, Pulimoodu Junction, Thiruvananthapuram (Trivandrum) India",,http://www.kada2u.com,,
Bake N Pack,"Kompadikkal Mangalackal, Thiruvananthapuram (Trivandrum) 695572 India",,,,
"Cafe Planet, Cet","Opp. Emmaaus Church, Near Cet, Chavadimukku, Sreekaryam, Thiruvananthapuram (Trivandrum) India",,,,
Big Bazaar,"Kalpana Heights, Pattom Junction, Old Kalpana Theatre, Thiruvananthapuram (Trivandrum) 695004 India",,http://www.bigbazaar.com/,,
Take Off,"O By Tamara Hotel, Thiruvananthapuram (Trivandrum) India",Mediterranean,,,
Zamzam Fresh & Zamzam Stores,"Ymr Juction, Thiruvananthapuram (Trivandrum) 695003 India",Deli,,,
Pizza Hut,"Anjali Arcade, Attinkuzhy, Arappuravilakam, Kazhakuttom, Thiruvananthapuram (Trivandrum) 695582 India",Pizza,https://restaurants.pizzahut.co.in/pizza-hut-ph-kazhakkoottam-thiruvananthapuram-pizza-restaurant-kazhakuttom-thiruvananthapuram-172026/home?utm_source=locator&utm_medium=bing,,
Halais Dum Biryani,"Nh-47, Thiruvananthapuram (Trivandrum) 695528 India",Indian,http://www.halais.in/,,
Srii Saravana Bhavan,"Opp Infosys, Thiruvananthapuram (Trivandrum) 695583 India",Indian,http://www.sriisaravanabhavan.com,,
Error 404,"Error 404, Groundfloor Pankayam ,nandavanam,palayam, Thiruvananthapuram (Trivandrum) 695014 India",,http://www.error404tvm.com/,,
Ithiyoor,"Ithiyoor, Balaramapuram, Thiruvananthapuram (Trivandrum) 695501 India",Indian,http://www.keralakaithari.com,,
The Ambrosia,"Ambrosia, Bakery Junction, Krishna Building, Thiruvananthapuram (Trivandrum) 695001 India",American,http://www.theambrosia.com,,
Kadalmeen Seafood Restaurant,"Nh Kovalam Bypass Near Chudukad Temple, Pachalloor, Thiruvananthapuram (Trivandrum) 695014 India",Seafood,http://kadalmeen.com/,,
Frc Foods,"Market Rd, Kallambalam, Thiruvananthapuram (Trivandrum) 695605 India",Pizza,http://www.frcfoods.in,,
Varnam Seafood Restaurant,"Palayam , Near Dcc, Thiruvananthapuram (Trivandrum) 695-033 India",Seafood,http://varnamcaterers.com,,
Choonda Restaurant,"Bakery Junction, Palayam, Thiruvananthapuram (Trivandrum) 695034 India",Seafood,,,
Misbaah,"Tc 48/651 Poonthara Po, Near Al Arif Hospital, Thiruvananthapuram (Trivandrum) 695026 India",Indian,,,
La Baie - A Pool Bar,"Hycinth Hotels,manorama Road,thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",,http://www.hycinthhotels.com,,
Dishko Eatery,"Taj Arcade, Old Aruljyothi, Bakery Junction, Thiruvananthapuram (Trivandrum) 695014 India",Chinese,https://dishko.com,,
Reunion - The Gastro Pub & Wine Bar,"Gv Raja Road, Samudra Beach, Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",,,,
Fruzone,"Fruzone Juice and Ice Creames Near Bus Stop, Kowdiar Jn, Thiruvananthapuram (Trivandrum) 695033 India",,,,
Al thaj restaurant,"Pallimukku, Thiruvananthapuram (Trivandrum) India",Indian,,,
DLounge Cafe,"Sreekariyam - Kazhakuttam Rd Beside Beast Fitness, Thiruvananthapuram (Trivandrum) 695583 India",Italian,https://www.instagram.com/dloungecafe/?locale=fr_CA,,
Aasife Biriyani,"Aristo Junction, Thiruvananthapuram (Trivandrum) India",Indian,http://www.aasifebiriyani.co.in,,
Masala Restaurant,"Trivandrum Int'l Airport Entrance 2 Rd, Chacka, Thiruvananthapuram (Trivandrum) 695008 India",Chinese,,,
Vaishnavi - The North Indian Delights,"In Front Of Green Palace Bar, Sreekaryam Junction, Thiruvananthapuram (Trivandrum) 695017 India",Indian,,,
Garam Masala,"Pattom Lekshmi Nagar, Pattom, Thiruvananthapuram (Trivandrum) 695004 India",,,#398 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Amul Sabrosa,"Amul Sbrosa, Nadesha Complex, Step Junction Nalanchira, Thiruvananthapuram (Trivandrum) 695015 India",,,,
"Hotel Sree Aryaas, Main Road,kilimanoor","Thiruvananthapuram Kottayam Main Road, Thiruvananthapuram (Trivandrum) India",Indian,,#370 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
MRA,"Opp.MLA Hostel, Thiruvananthapuram (Trivandrum) India",Chinese,https://www.facebook.com/MRARestaurant/,,
Jimmy's Flames Restaurant,"Plamoodu Junction Near Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Chinese,,,
Daawat Restaurant,"Dhanya-Ramya Theatre Road Kunnumpuram, Behind Ayurveda College, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,http://www.daawatrestaurant.com,,
Le Lumiere Restaurant,"Near Law College, Thiruvananthapuram (Trivandrum) 695035 India",,http://www.lelumiere.in/,,
Rasam Restaurant,"Pangappara, Thiruvananthapuram (Trivandrum) 695581 India",Indian,http://therasam.com,,
"Malabar Express, Family Restaurant","Opposite Rms, Station Road, Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,,
Al Zaidee Restaurant Karamana,"Al Zaidee Restaurant, Thiruvananthapuram (Trivandrum) 695002 India",Indian,,,
Currys N frys,"Pattoor, vanchiyoor- Trivandrum, Thiruvananthapuram (Trivandrum) 695035 India",Indian,http://www.facebook.com/currysnfrys,,
Spice Hut,"Mulluvela Kazhakootam Back door of Technopark, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,,
Life and Leaf,"Chowara Road Dr. Franklin's Panchakarma Institute & Research Centre, Thiruvananthapuram (Trivandrum) 695501 India",Chinese,http://drfranklin.com/,,
Hotel Sree Arya Bhavan Restaurant,"Near Vasudeva Vilasom Hotel Sree Arya Bhavan Restaurant Near Vasudeva Vilasom, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#304 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Seafood Grill,"Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Chinese,,,
Ariyamma Veg Restaurant,"Kazhakuttom Road Naina House Pvra 46 Parakkodu Pallinada, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,,,
Sizzler Restaurant,"Vazhuthacaud Road Near Bus Stand, Thampanoor, Thiruvananthapuram (Trivandrum) 695014 India",Indian,,,
Uptown Burgery,"Cr Enclave, Ground Floor, Near Vedhika Boutique, Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010 India",American,,,
Kailash Parbat,"2nd Floor, Mall Of Travancore, Eanchakkal, Kannanthura, Thiruvananthapuram (Trivandrum) 695024 India",Indian,https://www.kailashparbatgroup.com/,,
Aalimo,"98/3712 Nh Bypass Technopark Main Gate Phase I, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,http://www.aalimo.in,,
Halais Dum Biriyani,"Pangappara, Thiruvananthapuram (Trivandrum) 695581 India",Chinese,http://www.halais.in/,,
Chinnus Hotel,"Venjaramood, Thiruvananthapuram (Trivandrum) 695607 India",,,#449 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Izing Zone,"Unit# SF - 20A Mall of Travancore, Thiruvananthapuram (Trivandrum) 695024 India",Indian,,,
Oldskool Cafe And Diner,"Oldskool Cafe And Diner Above Fruit Bae, Kuravankonam, Thiruvananthapuram (Trivandrum) 695003 India",Italian,http://www.oldskooldiner.com,,
Fabcafe,"B40 Vasantham Kra, Opposite: Azad Bread Factory, Thiruvananthapuram (Trivandrum) 695003 India",Indian,http://fabcafe.in,,
Newyork Cafe,"Saphalyam Shopping Complex, 2nd Floor University of Kerala Senate House Campus, Palayam, Thiruvananthapuram (Trivandrum) India",Cafe,http://www.newyorkcafekerala.com,,
Vandrums Restaurant,"Vanchiyoor - Pattoor road Trivandrum, Kerala, Thiruvananthapuram (Trivandrum) 695035 India",Chinese,,,
The Great Cana,"Opposite Technopark Main Gate, Kazhakkoottam Next To Catholic Syrian Bank, Thiruvananthapuram (Trivandrum) 695581 India",Chinese,,,
Chaikaari,"Opp Sbi, Vanchiyoor Junction, Thiruvananthapuram (Trivandrum) 695035 India",,http://www.chaikaari.com,,
Ice Berg,"Store No: 2, Kedaram Shopping Complex Kesavadasapuram, Thiruvananthapuram (Trivandrum) 605004 India",,,#440 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Spices Restaurant,"Rafee Arcade Annexe Sreekariyam, Opposite Sbt Sreekariyam Branch, Thiruvananthapuram (Trivandrum) 695017 India",Chinese,,#413 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Siji's Buff Street,"Nanthancode Jct, Thiruvananthapuram (Trivandrum) 695003 India",,https://www.facebook.com/sijisbuffstreet/,#461 of 907 places to eat in Thiruvananthapuram (Trivandrum),1.5
In Between,"Sun Saphire Apartment, Kesavadasapuram, Thiruvananthapuram (Trivandrum) 695004 India",,,#453 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.5
Archies Desserts,"Vanchiyoor,trivandrum G Krishnan Nair Road, Thiruvananthapuram (Trivandrum) 695035 India",Indian,,,
Mammuz Biriyani,"Bakery Junction, Ootukuzhy, Thycaud Near Arul Jyothi, Thiruvananthapuram (Trivandrum) 695014 India",Indian,,#372 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
New Salala Hotel,"Kittu Complex, Attakkulangara - Killippalam Bypass Rd, Attakulangara,, Thiruvananthapuram (Trivandrum) 695023 India",Chinese,https://www.swiggy.com/direct/brand/498214?source=swiggy-direct&subsource=generic,,
Contour Rocks,"Saisudha, SH 1, Thiruvananthapuram (Trivandrum) 695606 India",,,#427 of 727 Restaurants in Thiruvananthapuram (Trivandrum),2.5
Hotel Ganga,"Pazhaya Road Medical College, Thiruvananthapuram (Trivandrum) 695011 India",,,#423 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Baskin-Robbins,"Archana Building Tc 27/2263, Thiruvananthapuram (Trivandrum) 695001 India",,,#296 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Hotel Chandra Restaurant,"Thirumala Junction, Trivandrum, Thiruvananthapuram (Trivandrum) 695006 India",Indian,,#372 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Sha Bakers Karette,"Karette,, Thiruvananthapuram (Trivandrum) 695612 India",,,,
Wyb Resturant,"Wyb Resturant Ulloor Aakkulam Road, Thiruvananthapuram (Trivandrum) 695017 India",Chinese,,,
Hotel New Ariya Bhavan Mini Residency Restaurant,"Karamana Opposite Sbt Bank, Thiruvananthapuram (Trivandrum) 695006 India",,,#420 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Wink,"Extra Police Road, Thiruvananthapuram (Trivandrum) 695033 India",Indian,https://www.vivantahotels.com/en-in/vivanta-thiruvananthapuram/restaurants/wink/,,
Sunset Restaurant,"Hotel Sunset Lighthouse Beach Kovalam Lighthouse Beach Kovalam, Thiruvananthapuram (Trivandrum) 695521 India",Italian,,#372 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.0
Baskin-Robbins,"Housing Board Comlex, Pf Office Lane Pattom, Near Signal, Thiruvananthapuram (Trivandrum) 695004 India",,,#232 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Jod's Restaurant,"Jod's Restaurant, Srerkaryam Jn Srerkaryam, Thiruvananthapuram (Trivandrum) 695017 India",Indian,,#352 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Rifas Restaurant,"Poovar Junction Near Poovar Bridge, Thiruvananthapuram (Trivandrum) 695525 India",Chinese,,#408 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Wok On Wheels,"In Front Of Trivandrum Club, Thiruvananthapuram (Trivandrum) 695010 India",Chinese,https://www.facebook.com/wokonwheelstvm/,,
Pizzeria Toto,"Pournami, Chithragardens, Chavadimukku, Pangappara, Thiruvananthapuram (Trivandrum) 695581 India",Italian,,,
Sarah's Bake House,"Kilimanoor Road, Nalanchira Junction Near Bsnl Exchange, Thiruvananthapuram (Trivandrum) 695512 India",Indian,https://www.facebook.com/sarahstvm/,,
Amistad's Kalavara,"Kuravankonam Ambalamukku Road, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.kalavara.com,,
Pai's Kitchen The Dosa People,"Opposite Lulu Mall, Oruvathilkotta, Aakkulam, Thiruvananthapuram, Kerala 695029, Thiruvananthapuram (Trivandrum) 695029 India",Indian,,,
Gopika's cake basket,"Goverment Press Road T.c 26/1558, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,,
Old Skool Diner,"Pattom Kowdiar Rd, Thiruvananthapuram (Trivandrum) 695003 India",,,,
Q Nine Restaurant,"Trivandrum Hotel Inside The Hotel, Thiruvananthapuram (Trivandrum) India",Indian,,,
Nagas,"SF-23, 2nd Floor Mall of Travancore-Chakai Enchakkal Bypass Road, Thiruvananthapuram (Trivandrum) 695024 India",,https://www.facebook.com/Nagas-247749602629007/,#457 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.0
Hotel Sun View Restaurant,"Sree Varaham Road Opposite Govtvernment Central HS, Pazhavangadi, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,#413 of 727 Restaurants in Thiruvananthapuram (Trivandrum),2.5
Danbauk,"Pandits Colony Extension, Kowdiar Opposite Nirmala Bhavan School, Devasom Board Jn., Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.danbauk.com,,
Hotel Sri Aiswariya Restaurant,"Kaniyapuram N H Road Kazhakuttom, Near Ksrtc, Thiruvananthapuram (Trivandrum) 695301 India",,,#314 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Wow China,"Shop No 19, Food Court, Lulu Mall, Kochuveli, Thiruvananthapuram (Trivandrum) 695021 India",,https://restaurantswowchina.wowmomo.com/wow-china-lulu-mall-trivandrum-combo-chinese-restaurants-kochuveli-thiruvananthapuram-294286/home?utm_source=locator&utm_medium=bing,,
Bites and Drinks,"Attakulangara Near Bandhan Bank Opposite to Sun Beam Hotel, Near Buhari, Thiruvananthapuram (Trivandrum) 695009 India",,http://bitesanddrinks.in/,#354 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Oasis Fast Food,"Saphalyam Complex Palayam, Thiruvananthapuram (Trivandrum) 695033 India",,,#391 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Flotilla KTDC Veli,"Madhavpuram colony, Veli,, Thiruvananthapuram (Trivandrum) 695021 India",Cafe,,,
Baskin Robbins,"General Hospital Jn, Thiruvananthapuram (Trivandrum) 695024 India",American,https://www.facebook.com/Baskin-Robbins-Mall-of-Travancore-161315801144495/,#376 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
The Pantry,"Medical College Near Police Station, Thiruvananthapuram (Trivandrum) 695011 India",Chinese,http://www.pantrytrivandrum.com,#431 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Valiyakada Brothers Restaurant,"Valiyakada Brothers Restaurant Peroorkada, Thiruvananthapuram (Trivandrum) 695005 India",Indian,,#198 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
"Al Usthad Hotel, Vizhinjam","Mathipuram , Sea View Vizhinjam, Thiruvananthapuram (Trivandrum) 695521 India",Indian,,,
Arabian Broast,"Trivandrum Vizhinjam Rd, Kamaleshwaram,trivandrum, Thiruvananthapuram (Trivandrum) 695009 India",,,,
Hottey Smokey,"31 Bypass Road, Thiruvananthapuram (Trivandrum) 695583 India",American,,,
